epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.034,1.00331,1.96311,1.17831,0.61595,0.6243,0.65621,0.48861,0.82259,0.91729,1.02478,0.00332965,0.00332965,0.00332965
2,469.296,0.95519,1.03105,1.12016,0.7231,0.6166,0.68464,0.489,0.88882,0.94606,1.0686,0.00659702,0.00659702,0.00659702
3,701.821,1.05984,1.1202,1.17405,0.64736,0.53576,0.60697,0.42179,1.01729,1.12643,1.13902,0.00979839,0.00979839,0.00979839
4,931.424,1.1238,1.16904,1.209,0.74227,0.63217,0.69739,0.48102,0.97817,1.02969,1.11968,0.009703,0.009703,0.009703
5,1158.19,1.09097,1.08197,1.18726,0.70968,0.68986,0.73897,0.52155,0.93951,0.88388,1.11018,0.009604,0.009604,0.009604
6,1386.06,1.04821,0.99055,1.16512,0.75533,0.72802,0.78195,0.57078,0.88714,0.81243,1.07031,0.009505,0.009505,0.009505
7,1613.45,1.02251,0.93412,1.14979,0.79615,0.73556,0.80111,0.58812,0.85854,0.74896,1.0468,0.009406,0.009406,0.009406
8,1841.47,0.9896,0.88396,1.13085,0.83303,0.76849,0.83682,0.61141,0.85148,0.7125,1.04678,0.009307,0.009307,0.009307
9,2068.73,0.96972,0.85224,1.12287,0.82007,0.76208,0.83449,0.62327,0.81881,0.68916,1.0287,0.009208,0.009208,0.009208
10,2296.43,0.95215,0.81114,1.11159,0.86177,0.80113,0.87029,0.65128,0.80462,0.66196,1.02185,0.009109,0.009109,0.009109
11,2523.71,0.94143,0.79332,1.10443,0.89429,0.80164,0.88606,0.67027,0.78486,0.60875,1.00482,0.00901,0.00901,0.00901
12,2752.47,0.91557,0.76388,1.09239,0.90286,0.81132,0.89411,0.67548,0.78052,0.58464,1.00651,0.008911,0.008911,0.008911
13,2973.39,0.90726,0.74138,1.08818,0.89534,0.82189,0.90064,0.68689,0.76939,0.57813,1.00209,0.008812,0.008812,0.008812
14,3199.75,0.89771,0.7262,1.07956,0.88232,0.841,0.89321,0.68677,0.75538,0.55484,0.99218,0.008713,0.008713,0.008713
15,3430.64,0.88824,0.71265,1.07507,0.91799,0.83052,0.9045,0.69383,0.76222,0.55574,0.98779,0.008614,0.008614,0.008614
16,3661.61,0.87445,0.69902,1.06858,0.89789,0.82981,0.90493,0.69887,0.74819,0.53878,0.98814,0.008515,0.008515,0.008515
17,3890.85,0.86412,0.68206,1.06241,0.89879,0.85554,0.91965,0.71598,0.73872,0.51633,0.97688,0.008416,0.008416,0.008416
18,4119.43,0.85617,0.66982,1.05981,0.91963,0.85668,0.92391,0.72298,0.71894,0.50551,0.96698,0.008317,0.008317,0.008317
19,4348.73,0.85626,0.65846,1.05612,0.91817,0.84451,0.91589,0.72004,0.72057,0.50299,0.97056,0.008218,0.008218,0.008218
20,4577.46,0.85149,0.65297,1.05734,0.91471,0.87572,0.92474,0.73243,0.71964,0.48964,0.9721,0.008119,0.008119,0.008119
21,4805.72,0.84288,0.64047,1.04871,0.91917,0.87908,0.93326,0.73959,0.70563,0.47374,0.96519,0.00802,0.00802,0.00802
22,5033.72,0.82895,0.62387,1.04421,0.89831,0.87832,0.92354,0.73332,0.69872,0.47536,0.96388,0.007921,0.007921,0.007921
23,5262.51,0.82499,0.6193,1.04497,0.93059,0.86785,0.93504,0.74864,0.68953,0.45725,0.95921,0.007822,0.007822,0.007822
24,5490.32,0.82168,0.61175,1.0383,0.94402,0.87594,0.93912,0.75258,0.69061,0.44921,0.95153,0.007723,0.007723,0.007723
25,5718.75,0.81458,0.60723,1.03856,0.9182,0.88006,0.93767,0.75007,0.67319,0.44712,0.94886,0.007624,0.007624,0.007624
26,5947.49,0.81153,0.59755,1.03143,0.92422,0.89256,0.94097,0.75949,0.6756,0.44057,0.94669,0.007525,0.007525,0.007525
27,6175.55,0.80263,0.58922,1.02885,0.9414,0.88337,0.93927,0.75618,0.67244,0.42944,0.94781,0.007426,0.007426,0.007426
28,6403.34,0.79591,0.58229,1.02639,0.92165,0.88715,0.93887,0.74941,0.67058,0.43232,0.94783,0.007327,0.007327,0.007327
29,6631.61,0.79269,0.58223,1.02324,0.93026,0.89013,0.9452,0.76455,0.6573,0.41909,0.94022,0.007228,0.007228,0.007228
30,6859.03,0.78847,0.57531,1.02256,0.91619,0.90955,0.94805,0.76634,0.65873,0.40967,0.94222,0.007129,0.007129,0.007129
31,7086.95,0.78277,0.57137,1.0211,0.92192,0.90424,0.95007,0.77229,0.64937,0.41137,0.93239,0.00703,0.00703,0.00703
32,7315.63,0.77663,0.56357,1.01779,0.92656,0.90044,0.94651,0.76802,0.64912,0.40322,0.93423,0.006931,0.006931,0.006931
33,7544.5,0.77527,0.55195,1.01234,0.93246,0.90838,0.95252,0.77636,0.64502,0.39322,0.93446,0.006832,0.006832,0.006832
34,7770.38,0.76905,0.54682,1.01233,0.94102,0.90191,0.95106,0.7844,0.6401,0.39315,0.92856,0.006733,0.006733,0.006733
35,7991.16,0.76074,0.5392,1.00623,0.9372,0.90834,0.95013,0.77914,0.64405,0.39444,0.933,0.006634,0.006634,0.006634
36,8217.44,0.7604,0.53722,1.0074,0.94447,0.90315,0.95173,0.78017,0.63942,0.38412,0.93206,0.006535,0.006535,0.006535
37,8447.47,0.757,0.53224,1.00593,0.94233,0.91101,0.95155,0.7803,0.63534,0.38268,0.93068,0.006436,0.006436,0.006436
38,8677.98,0.75196,0.53009,1.00178,0.94193,0.91066,0.95178,0.77942,0.63176,0.38291,0.92666,0.006337,0.006337,0.006337
39,8907.91,0.75001,0.52573,0.99971,0.93427,0.91644,0.95174,0.78198,0.62878,0.37799,0.92591,0.006238,0.006238,0.006238
40,9135.54,0.74024,0.52352,0.9953,0.93833,0.90926,0.9514,0.78186,0.62522,0.37938,0.92319,0.006139,0.006139,0.006139
41,9364.29,0.74054,0.51936,0.9954,0.93394,0.92164,0.95437,0.7893,0.62654,0.36836,0.92548,0.00604,0.00604,0.00604
42,9585.67,0.73901,0.51411,0.99582,0.94489,0.91417,0.95202,0.78892,0.6254,0.3705,0.92443,0.005941,0.005941,0.005941
43,9812.64,0.7332,0.50916,0.99418,0.95217,0.91039,0.95484,0.79054,0.62149,0.37001,0.92425,0.005842,0.005842,0.005842
